COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Colombia,SEP2014,September 2014,2014,9,September,Total exports,84.675,16,849.0,,0.0144484012483555
Colombia,SEP2014,September 2014,2014,9,September,Electricity supplied,5775.888,17,68225.299,,0.9855606423331758
Colombia,SEP2014,September 2014,2014,9,September,Distribution losses,431.423,19,5850.0,,0.0736152655656248
Colombia,SEP2014,September 2014,2014,9,September,Final consumption,5344.465,20,62375.299,,0.9119453767675508
Colombia,SEP2014,September 2014,2014,9,September,Electricity trade,84.622,21,802.0,,0.0144393576668242
Colombia,SEP2014,September 2014,2014,9,September,Renewables,4277.977,22,48591.614,,0.7299666752552252
Colombia,SEP2014,September 2014,2014,9,September,Non-renewables,1582.534,23,20435.682,,0.2700334953783885
Colombia,SEP2014,September 2014,2014,9,September,Others,166.453,24,1918.191,,0.0284024769175378
Colombia,SEP2014,September 2014,2014,9,September,Other renewables aggregated,107.583,25,1264.093,,0.0183572760732427
Colombia,SEP2014,September 2014,2014,9,September,Low carbon,4277.977,26,48591.614,,0.7299666752552252
Colombia,SEP2014,September 2014,2014,9,September,Fossil fuels,1582.534,27,20435.682,,0.2700334953783885
Colombia,OCT2014,October 2014,2014,10,October,Hydro,4072.668,1,47249.092,,0.6883564804251154
Colombia,OCT2014,October 2014,2014,10,October,Wind,3.704,2,69.482,,0.0006260447459735
Colombia,OCT2014,October 2014,2014,10,October,Solar,0.688,3,8.947,,0.0001162847692305
Colombia,OCT2014,October 2014,2014,10,October,Total combustible fuels,1839.451,7,21699.775,,0.3109013590782403
Colombia,OCT2014,October 2014,2014,10,October,Coal,405.291,8,5152.09,,0.0685017011718056
Colombia,OCT2014,October 2014,2014,10,October,Oil,206.83,9,1918.191,,0.0349581087499218
Colombia,OCT2014,October 2014,2014,10,October,Natural gas,1116.552,10,13365.401,,0.1887180111248016
Colombia,OCT2014,October 2014,2014,10,October,Combustible renewables,110.778,11,1264.093,,0.0187235380317112
Colombia,OCT2014,October 2014,2014,10,October,Net electricity production,5916.51,14,69027.299,,1.0
Colombia,OCT2014,October 2014,2014,10,October,Total imports,3.642,15,47.0,,0.000615565595258
Colombia,OCT2014,October 2014,2014,10,October,Total exports,64.034,16,849.0,,0.0108229344664337
